Geo Point;Geo Shape;Street;MotDir;Id_Seg_Ges;Id_Seg_Obs;commune;code_insee;codsti;Nrivoli;Longueur;Type;arrete;date_mes;Annee;pole;SensUnique;DoubleSens_Cyclable;commentaire
43.6039944413,1.44567501903;"{""type"": ""LineString"", ""coordinates"": [[1.445679082531429, 43.60372199037725], [1.445670955530473, 43.60426689214148]]}";RUE D ALSACE LORRAINE;LORRAINE (RUE D ALSACE LORRAINE);4690;4690;TOULOUSE;31555;315550118429;3105550224;61;Aire Pietonne;13/107;;2007;Centre;oui;oui;modif arrêté de septembre 2007
43.5996633106,1.44420467167;"{""type"": ""LineString"", ""coordinates"": [[1.443911136997098, 43.59961700343381], [1.444498206333191, 43.599709617745795]]}";PL DE LA TRINITE;TRINITE (PL DE LA TRINITE);5668;5668;TOULOUSE;31555;315556960060;3105558576;48;Aire Pietonne;11/095;2011-05-20T02:00:00+02:00;2011;Centre;;;
43.6065212337,1.44196819206;"{""type"": ""LineString"", ""coordinates"": [[1.441643330956622, 43.60621917140241], [1.441779178953975, 43.6063640589636], [1.44189539989044, 43.606515406556525], [1.442134009891755, 43.60666678304116], [1.442351684005752, 43.606737566998476]]}";RUE DE L ESQUILE;ESQUILE (RUE DE L ESQUILE);3261;3261;TOULOUSE;31555;315552636824;3105553080;83;Aire Pietonne;11/118;2011-05-20T02:00:00+02:00;2011;Centre;oui;oui;
43.6553501999,1.39331003623;"{""type"": ""LineString"", ""coordinates"": [[1.393049263682784, 43.65518358756514], [1.393570808770853, 43.65551681224721]]}";CHE DU MOULIN DE NAUDIN;NAUDIN (CHE DU MOULIN DE NAUDIN);20842;2084;BLAGNAC;31069;310690000278;3100690711;56;Aire Pietonne;;;2012;Ouest;;;
43.6038385043,1.44317560373;"{""type"": ""LineString"", ""coordinates"": [[1.443298447917599, 43.603851771834805], [1.443052759537325, 43.60382523679432]]}";PL DU CAPITOLE;CAPITOLE (PL DU CAPITOLE);4907;4907;TOULOUSE;31555;315551420803;3105551676;20;Aire Pietonne;13/106;2013-07-11T02:00:00+02:00;2013;Centre;oui;oui;
43.6032030664,1.44556248081;"{""type"": ""LineString"", ""coordinates"": [[1.445669627554629, 43.60313342475736], [1.445455334071706, 43.60327270810727]]}";RUE DE LA POMME;POMME (RUE DE LA POMME);4688;4688;TOULOUSE;31555;315555468840;3105556988;23;Aire Pietonne;13/108;2013-07-11T02:00:00+02:00;2013;Centre;oui;oui;
43.6034271772,1.4451262349;"{""type"": ""LineString"", ""coordinates"": [[1.445455334071706, 43.60327270810727], [1.444797135737509, 43.60358164635634]]}";RUE DE LA POMME;POMME (RUE DE LA POMME);4689;4689;TOULOUSE;31555;315555468840;3105556988;63;Aire Pietonne;13/108;2013-07-11T02:00:00+02:00;2013;Centre;oui;oui;
43.6059274097,1.44435654712;"{""type"": ""LineString"", ""coordinates"": [[1.444275697430528, 43.60580471799456], [1.444437396801819, 43.60605010134857]]}";RUE DE REMUSAT;REMUSAT (RUE DE REMUSAT);3312;3312;TOULOUSE;31555;315555830453;3105557392;30;Aire Pietonne;13/112;2013-07-11T02:00:00+02:00;2013;Centre;oui;oui;
43.6034663414,1.44649727084;"{""type"": ""LineString"", ""coordinates"": [[1.445677459535496, 43.60348165988913], [1.44731708213555, 43.603451022888514]]}";RUE LT COLONEL PELISSIER;PELISSIER (RUE LT COLONEL PELISSIER);4700;4700;TOULOUSE;31555;315554108843;3105555246;132;Aire Pietonne;13/113;2013-07-11T02:00:00+02:00;2013;Centre;oui;oui;
43.5925723824,1.44403581324;"{""type"": ""LineString"", ""coordinates"": [[1.443547676620636, 43.59240275474536], [1.444523949864772, 43.59274201001415]]}";ALL PAUL FEUGA;FEUGA (ALL PAUL FEUGA);4893;4893;TOULOUSE;31555;315552777627;3105556620;87;Aire Pietonne;13/227;2013-12-27T01:00:00+01:00;2013;Centre;oui;oui;
